silver-infovis-topics--userC.txt,lda_35_0.001_0.0001,Score
C16,19,0.0029856442585895664
C16,17,0.0021797361848544207
C16,18,0.0031112327232113855
C16,33,0.0023998783938645627
C16,15,0.0026911385371177305
C16,34,0.0024939422999929136
C16,16,0.019553634742343815
C16,13,0.0016468154303444958
C16,14,0.04639782190635014
C16,11,0.007614213413766256
C16,12,0.009577196318926647
C16,21,0.0036526000275915148
C16,20,0.04078465726173308
C16,22,0.0018673245677038098
C16,23,0.0027253483427224392
C16,24,0.0023044599982492016
C16,25,0.008840501503768644
C16,26,0.6760556671091933
C16,27,0.0017251473060443622
C16,28,0.005244771733996584
C16,29,0.10584530995419897
C16,3,0.0016766945560406144
C16,2,0.9412342112360649
C16,10,0.11376859769565076
C16,1,0.021520935591843274
C16,0,0.0026575093425106238
C16,7,0.0016537697733906306
C16,30,0.06252253765386356
C16,6,0.10303034196394181
C16,5,0.001807836996780524
C16,32,0.004567157072117237
C16,4,0.0063008871655971625
C16,31,0.002025299453233067
C16,9,0.005118904376599428
C16,8,0.003962399657920765
C07,19,0.0014710043406484432
C07,17,0.0015299425711748323
C07,18,0.0026550851158677023
C07,33,0.01796355210021028
C07,15,0.0027973410478221135
C07,34,0.03656181421100213
C07,16,0.005485848655541089
C07,13,0.0010187957812004568
C07,14,9.624016427139056E-4
C07,11,0.13156633417091823
C07,12,4.471470874985224E-4
C07,21,0.004286743717449475
C07,20,0.004231117431199146
C07,22,0.0031162746744565115
C07,23,0.004167986501136826
C07,24,0.001647662101889739
C07,25,0.0014370167599402582
C07,26,6.688625023166249E-4
C07,27,0.0035990477109030723
C07,28,0.0012547547671647532
C07,29,6.31937715338921E-4
C07,3,0.012714534083188216
C07,2,0.002324601873547407
C07,10,0.0031505281346572277
C07,1,0.007935217993978836
C07,0,0.11598358187177286
C07,7,0.0013881144554660806
C07,30,0.031821935366838534
C07,6,0.6564066696810954
C07,5,0.005326358700445895
C07,32,0.001938448067303335
C07,4,0.033422014458496664
C07,31,5.355205024333495E-4
C07,9,0.0015336643217039616
C07,8,0.00834325231057787
C17,19,0.009888493735089182
C17,17,0.00388811771584916
C17,18,0.1046996613737185
C17,33,0.057583252237188035
C17,15,0.0025124087441635644
C17,34,0.040173957659964066
C17,16,0.008095797538120616
C17,13,0.024401700087976933
C17,14,0.008858031282947914
C17,11,0.06005950120300038
C17,12,0.0013852658137104815
C17,21,0.0021327186596203493
C17,20,0.004229267416104386
C17,22,0.00715082861604321
C17,23,0.0042608218328131445
C17,24,0.0022085750913035463
C17,25,0.007531454263316365
C17,26,0.0013493663116573716
C17,27,0.001734102224480267
C17,28,0.030508934529397173
C17,29,0.0011939753959638282
C17,3,0.002672098559544739
C17,2,3.100913512459704E-4
C17,10,0.002356340521005087
C17,1,0.0019449848200270956
C17,0,0.08859803484764198
C17,7,0.003535888204670921
C17,30,0.01397145522844595
C17,6,0.31421677593449804
C17,5,0.0019512093693185334
C17,32,0.4105082359242122
C17,4,0.0018147178787911368
C17,31,4.2333681478343393E-4
C17,9,7.002430923273826E-4
C17,8,0.03020905156813779
C08,19,0.0014374017620927028
C08,17,0.0028298389206596964
C08,18,0.1061381009834863
C08,33,0.001218692196401283
C08,15,0.004175920098820957
C08,34,0.002525151143812466
C08,16,0.40837471998045943
C08,13,0.021529985483577048
C08,14,0.0017256032029177065
C08,11,0.002296749317427384
C08,12,4.721319450753153E-4
C08,21,0.002294453034847185
C08,20,0.02006529137328287
C08,22,0.0012796973416988587
C08,23,0.005306385942114816
C08,24,0.005256165406029741
C08,25,0.01074808987434093
C08,26,0.02712238507199965
C08,27,0.0013569582968422332
C08,28,0.0023369115535310393
C08,29,0.0017304675647012043
C08,3,0.0011200520459302154
C08,2,0.0016684871750678794
C08,10,0.00571715171023621
C08,1,0.0017192669155537735
C08,0,0.002184868879926876
C08,7,0.990472856040131
C08,30,7.742472562121735E-4
C08,6,0.03983003109645714
C08,5,0.34279018647392234
C08,32,0.034165114245850454
C08,4,0.001455180651993898
C08,31,0.0023756031788471988
C08,9,0.024078611226610255
C08,8,0.0043435724812788705
C18,19,0.0026358515316925735
C18,17,0.0012525675363010964
C18,18,0.7453557841220796
C18,33,0.002698905108144013
C18,15,0.004698478999709567
C18,34,0.0022319567849069456
C18,16,0.009366542123949531
C18,13,0.00102906910362304
C18,14,0.0024952623232880468
C18,11,0.0015808653475710898
C18,12,3.08326259075868E-4
C18,21,0.2806230305746559
C18,20,0.0029873999552500756
C18,22,0.002014064001529102
C18,23,0.001259228742131499
C18,24,0.0034209319215854185
C18,25,0.0023627217141247016
C18,26,7.715317524024225E-4
C18,27,0.0012991595996434363
C18,28,0.0023249775870003045
C18,29,0.0034885677243686754
C18,3,5.955194695491191E-4
C18,2,2.1808846794954385E-4
C18,10,7.788033536303662E-4
C18,1,2.8350093356400535E-4
C18,0,0.03821377586340137
C18,7,0.0015086612536747853
C18,30,4.0778036963645496E-4
C18,6,0.0016249298997542373
C18,5,0.005161368908567016
C18,32,0.011368802854165083
C18,4,0.002355640189725732
C18,31,0.0017492562859993271
C18,9,0.03552034833549048
C18,8,0.0019431699590470746
C05,19,0.0028683222058708694
C05,17,0.0019619584208402405
C05,18,0.007543710369354276
C05,33,0.7433585429370759
C05,15,0.0015923357164219537
C05,34,0.002582347562853021
