silver-infovis-topics--userD.txt,lda_50_0.01_0.1,Score
D20,35,8.390354048314356E-4
D20,36,0.0021975894405081393
D20,33,0.012951427736667919
D20,34,0.03862447131107551
D20,39,0.0030158427990537003
D20,37,0.28972339795123925
D20,38,0.004129109006513216
D20,43,0.005834464600881015
D20,42,0.05890693014550998
D20,41,0.1193946214457078
D20,40,0.37648285301955287
D20,22,0.0018155467199982018
D20,23,0.007869814378934628
D20,24,0.0017893403682141757
D20,25,0.0011810994875069267
D20,26,0.0012136364393166106
D20,27,0.022115571307813997
D20,28,0.0016490912454400794
D20,29,0.0022877424439114464
D20,3,7.590111730063637E-4
D20,2,0.26082139898726825
D20,1,0.013375841845956802
D20,0,8.45203309513434E-4
D20,30,0.07772596710961957
D20,7,0.010016587448957804
D20,6,5.101620478975128E-4
D20,32,0.04723942466353993
D20,5,0.00323067140881118
D20,31,0.004736659021450041
D20,4,0.009778777054709954
D20,9,8.546498214579834E-4
D20,8,8.588609829179821E-4
D20,19,0.04168712278280009
D20,17,8.040447992190382E-4
D20,18,6.104362401486712E-4
D20,15,0.0023096433116248016
D20,16,0.002675342182692042
D20,13,0.0013679391153988787
D20,14,6.824599167106686E-4
D20,11,0.002422733118220526
D20,12,0.0011303284274701507
D20,21,0.001637289228429482
D20,20,0.607916652725026
D20,49,0.0011739831281194109
D20,48,0.0018300437263502778
D20,45,0.009730463486940153
D20,44,0.0497915071820107
D20,47,0.0076265710806131485
D20,46,0.2841807384379797
D20,10,0.0023451510558485083
D19,35,8.640130743146781E-4
D19,36,7.952547089622331E-4
D19,33,3.5580769051021094E-4
D19,34,0.011307113570742506
D19,39,9.964201877337472E-4
D19,37,1.9638381825966557E-4
D19,38,3.14080848652036E-4
D19,43,7.389513937629054E-4
D19,42,5.850614680337997E-4
D19,41,0.34496765993772344
D19,40,7.190552218668865E-4
D19,22,0.007993628389766404
D19,23,9.337163955056069E-4
D19,24,5.29074970259117E-4
D19,25,4.647486625966889E-4
D19,26,0.0013848887781386455
D19,27,0.005864436216319527
D19,28,0.0010240601968648081
D19,29,0.023624355934060894
D19,3,3.503463603252671E-4
D19,2,2.8319981375424187E-4
D19,1,0.002597572952818373
D19,0,0.0012537287708232908
D19,30,0.0015231939951940345
D19,7,3.505684859018049E-4
D19,6,1.6368529366620632E-4
D19,32,9.559593905262111E-4
D19,5,0.0022387825619487873
D19,31,0.0014307598862450027
D19,4,0.005039102500969539
D19,9,1.1822717301916101E-4
D19,8,5.65357789944899E-4
D19,19,0.0011669919499324459
D19,17,1.1443361865684395E-4
D19,18,0.005190727244196813
D19,15,2.406063580437319E-4
D19,16,0.001923106777878828
D19,13,0.02181877375105522
D19,14,3.7591726935422596E-4
D19,11,0.9248561884955293
D19,12,6.562369395791281E-4
D19,21,0.0011266464067382538
D19,20,9.377771024034526E-4
D19,49,5.838025878102087E-4
D19,48,9.070945033447843E-4
D19,45,0.004896522251447484
D19,44,8.868668800338732E-4
D19,47,8.113359078425014E-4
D19,46,3.787764652066908E-4
D19,10,0.0012429559462022416
D09,35,0.002980252640702054
D09,36,0.001995768800689116
D09,33,0.002212407812412854
D09,34,0.0030555017666177337
D09,39,0.0031372402920057108
D09,37,0.03274746465276277
D09,38,0.012888249196854613
D09,43,0.0011084852140665782
D09,42,0.021421548816445878
D09,41,0.0018109319162837839
D09,40,6.926681740880984E-4
D09,22,0.03178990071018682
D09,23,9.279218846934252E-4
D09,24,0.004024097676002575
D09,25,0.08634497888891518
D09,26,0.0878134405734648
D09,27,0.006593940574574707
D09,28,0.001602687854541499
D09,29,0.8725114917398392
D09,3,0.0012716251539141687
D09,2,0.002177359824132724
D09,1,4.1714343062159164E-4
D09,0,9.189194257522809E-4
D09,30,2.4240243825674775E-4
D09,7,9.65246012749658E-4
D09,6,0.003567158469719224
D09,32,0.0011376046737237968
D09,5,0.0023267426373892223
D09,31,0.25788100034300615
D09,4,0.19873342781946665
D09,9,9.844470192189416E-4
D09,8,0.0740995949868117
D09,19,0.056317677455615445
D09,17,0.005977230974013483
D09,18,9.68746356116448E-4
D09,15,0.0032099209353004645
D09,16,0.05083692917902708
D09,13,0.014113098098975253
D09,14,0.014765512639613131
D09,11,0.0015820041489387972
D09,12,7.849314017053411E-4
D09,21,0.0023331952133417736
D09,20,0.0030349027297694358
D09,49,6.757716872268973E-4
D09,48,0.0015188556545997814
D09,45,4.0817900717857213E-4
D09,44,0.38722230643977296
D09,47,7.295074456956141E-4
D09,46,0.0013494744288870266
D09,10,0.02706331056372855
D08,35,0.0013823159119179757
D08,36,0.0016819157023480065
D08,33,0.16248977383896523
D08,34,0.013764981634917758
D08,39,0.0012020751956093101
D08,37,7.933233811918466E-4
D08,38,0.04371247445692044
D08,43,0.45725021806640703
D08,42,0.012981688349694247
D08,41,0.0018879651404473867
D08,40,0.0010330190417499221
D08,22,3.160507537273382E-4
D08,23,7.080598053275394E-4
D08,24,0.0017932997059754662
D08,25,0.001212844561920573
D08,26,0.15216514868400063
D08,27,0.0018097220109671768
D08,28,0.001313772025230699
D08,29,0.003951791993229972
D08,3,0.002050186274309271
D08,2,0.01813372327628852
D08,1,0.001821797126199913
D08,0,0.0018360048381794473
D08,30,0.7966220881766246
D08,7,0.05056338609453824
D08,6,3.424211845146048E-4
D08,32,0.0013773912480181307
D08,5,0.005804377951399451
D08,31,0.008950735591298577
D08,4,0.31811492950906606
D08,9,0.0017258226560220432
D08,8,0.0035916245921521883
D08,19,0.0015559644652771982
D08,17,9.581641003229357E-4
D08,18,0.0013443209772934712
D08,15,0.18863586507165778
D08,16,0.20064983989360696
D08,13,0.0011845409957866343
D08,14,0.003923051157920318
D08,11,0.0019869371177052213
D08,12,0.008556560760191026
D08,21,0.0018175130713266431
D08,20,9.252646109594072E-4
D08,49,0.0035399071602195582
D08,48,0.18503329540766575
D08,45,0.0010900374739790466
D08,44,9.402399891476382E-4
D08,47,0.204982301539454
D08,46,0.017849039623596456
D08,10,0.001979087702173604
D16,35,0.0026378188234414657
D16,36,0.005170668202557157
D16,33,0.23491932411837707
D16,34,0.0034345005905686314
D16,39,0.009237400584027734
D16,37,0.8128135549253337
D16,38,0.033431108416244915
D16,43,0.00891884703116168
D16,42,0.060881921024152366
D16,41,0.0038803867385970806
D16,40,0.0033263771508487043
D16,22,0.007123177042807824
D16,23,0.001187216007719715
D16,24,0.5810375363585958
D16,25,0.001818829212012956
D16,26,0.255499073809868
D16,27,0.005861700152962934
D16,28,0.0017273284860992795
D16,29,0.0010716210953259863
D16,3,9.1481838457703E-4
D16,2,0.07313402575018249
D16,1,8.917988116123505E-4
D16,0,0.031264880512292696
D16,30,0.011032465546726832
D16,7,8.125502612614585E-4
D16,6,0.001213659959010504
D16,32,0.0012731401914139423
D16,5,0.0028300163941898477
D16,31,0.41487017130168363
D16,4,0.6062332415639626
D16,9,4.078791229871647E-4
D16,8,0.06884103137205684
D16,19,0.043534228932311354
D16,17,0.006439886303878595
D16,18,0.004909434113022509
D16,15,0.5256192553518815
D16,16,0.002659060358531607
D16,13,5.604885711730535E-4
D16,14,0.006996601584922445
D16,11,0.005395546040228036
D16,12,9.707748401519276E-4
D16,21,0.0016303182797619772
D16,20,0.0060667910490873255
D16,49,0.0012337302456226476
D16,48,0.0011348453918130959
D16,45,0.0018004473711469324
D16,44,6.754898695431703E-4
D16,47,0.0018603575316628498
D16,46,0.03649219815351921
D16,10,0.05092079288758118
D07,35,0.0013473934056083894
D07,36,0.003535418901779601
D07,33,3.993102508098136E-4
D07,34,6.585070700699946E-4
D07,39,4.886043865699082E-4
D07,37,0.0014650853108018707
D07,38,0.02184902129774882
D07,43,3.465768415210221E-4
D07,42,0.03639802951329135
D07,41,0.0019050912834297831
D07,40,4.590959594484159E-4
D07,22,0.0011075031208336663
D07,23,5.839361862764837E-4
D07,24,0.00415296684607073
D07,25,0.9692602269115659
