silver-infovis-topics--userF.txt,lda_5_0.01_0.01,Score
F11,3,0.009292337389884414
F11,2,0.05027206601282662
F11,1,0.008350221716307855
F11,0,0.07292777964428307
F11,4,0.1561821012507048
F12,3,0.05505108844181216
F12,2,0.44356896452402955
F12,1,0.010525405888771489
F12,0,0.03586787320699995
F12,4,0.038310264799327316
F01,3,0.9667383015948049
F01,2,0.03538541753663603
F01,1,0.07725425331906731
F01,0,0.03043408889076783
F01,4,0.1028573466574809
F10,3,0.013330285886292115
F10,2,0.16972628608310486
F10,1,0.03457524626768248
F10,0,0.020287812638427806
F10,4,0.915045137449066
F19,3,0.006565537433898047
F19,2,0.03383298716871009
F19,1,0.10174667806854885
F19,0,0.0060673119301583615
F19,4,0.01773476580075454
F06,3,0.053074832035075924
F06,2,0.005117609093650799
F06,1,0.04644767173244484
F06,0,0.009867286147561997
F06,4,0.18320570323631774
F07,3,0.0031812729141998666
F07,2,0.008035361913016148
F07,1,0.008007212914123844
F07,0,0.16300655252840351
F07,4,0.07383346543962101
F17,3,0.14346751315100947
F17,2,0.004501511680888619
F17,1,0.009574911563365483
F17,0,0.007252874621448183
F17,4,0.0601073861409505
F08,3,0.0019147872696351465
F08,2,0.005624878166201449
F08,1,0.007971477655647815
F08,0,0.0048261105103524415
F08,4,0.025460037914178585
F18,3,0.02279817305631529
F18,2,0.039550775079013493
F18,1,0.0037897451338409723
F18,0,0.08547153768758707
F18,4,0.055739742225170065
F15,3,0.0311705444246204
F15,2,0.008377701932700295
F15,1,0.002103130664486992
F15,0,0.18506891260176803
F15,4,0.05189172025947589
F02,3,0.012023524461758644
F02,2,0.04854590373272624
F02,1,0.014593392954600982
F02,0,0.4364287159800587
F02,4,0.6029276534902267
F16,3,0.013522299162964383
F16,2,0.003053932748104058
F16,1,7.70779615680014E-4
F16,0,0.04304336439634004
F16,4,0.36326442447030544
F03,3,0.8804961296875808
F03,2,0.023263783028780582
F03,1,0.05733967517274095
F03,0,0.013080076301378422
F03,4,0.3438765922774476
F04,3,0.018351341606266985
F04,2,0.01676567430488961
F04,1,0.013444359391312428
F04,0,0.004790369513742843
F04,4,0.031860936394378744
F13,3,0.012963629366692386
F13,2,0.0682360076256955
F13,1,0.0306455211522927
F13,0,0.07399000426982225
F13,4,0.05553979870553746
F05,3,0.005227602635865692
F05,2,0.0036374226787615764
F05,1,0.016045273665139994
F05,0,0.062102620652302536
F05,4,0.05325919634505463
F14,3,0.08571556358562203
F14,2,0.02332612257903796
F14,1,0.03878827920489114
F14,0,0.8067164188699134
F14,4,0.29945613881605915
F20,3,0.07288170371977971
F20,2,0.25628326372459226
F20,1,0.006818307227798817
F20,0,0.009534733415973355
F20,4,0.03427838669321735
