silver-infovis-topics--userH.txt,lda_35_0.0001_0.001,Score
H09,19,0.003339161420418916
H09,17,0.0020484073753698805
H09,18,0.38013202205863855
H09,33,0.21321861171162323
H09,15,0.16751635435002737
H09,34,0.0011877457597659637
H09,16,0.002875902491964132
H09,13,0.012399254279789365
H09,14,8.230495265256131E-4
H09,11,0.002865886549486873
H09,12,0.02281772206094247
H09,21,0.004874742374653399
H09,20,0.034376097935897236
H09,22,0.0392222193134725
H09,23,0.38724983684587133
H09,24,0.08379489429041052
H09,25,0.007962121694502666
H09,26,0.05564465803886024
H09,27,0.1565297528603709
H09,28,0.0022893086197600197
H09,29,0.0020995079046554335
H09,3,0.004326184195855218
H09,2,0.21917741364168244
H09,10,0.14756478288600378
H09,1,0.03142211461572047
H09,0,0.020000093897017554
H09,7,0.005092528556591202
H09,30,0.09510399189324951
H09,6,0.20694974301032432
H09,5,0.0314080412987939
H09,32,0.0037636244144774703
H09,4,0.1037099369949764
H09,31,0.002762390184743971
H09,9,0.01365855169617644
H09,8,0.034239527102300056
H08,19,0.0012812193655946083
H08,17,0.014045037663423127
H08,18,0.0016240506993274138
H08,33,0.003115293868658095
H08,15,0.003721412162565223
H08,34,0.0022991740772073
H08,16,0.0013120282071674516
H08,13,8.687333303836357E-4
H08,14,0.002254494501335188
H08,11,0.002444956594784616
H08,12,7.679496022772321E-4
H08,21,0.001407484268157598
H08,20,0.016026092183202806
H08,22,2.1869082221438166E-4
H08,23,0.0059113291088672346
H08,24,0.003479806764050378
H08,25,0.00721136982737139
H08,26,0.004517722048585248
H08,27,0.002515827969967314
H08,28,0.0013029909711898171
H08,29,0.030694245224658898
H08,3,4.1931050808926033E-4
H08,2,0.04129733700105347
H08,10,0.0018669258898209727
H08,1,0.036415801356958225
H08,0,8.012498687524312E-4
H08,7,0.19856217967294537
H08,30,0.002327935744283081
H08,6,0.01998342013297328
H08,5,0.00202747520206484
H08,32,0.005885965532028639
H08,4,0.06688910987657133
H08,31,0.004287671443943735
H08,9,0.005873622659775117
H08,8,0.008372936092890105
H19,19,0.0014027526930088564
H19,17,0.0011821363793883852
H19,18,0.006211282886584617
H19,33,0.019238006487852094
H19,15,0.13959104510286766
H19,34,8.742800039456945E-4
H19,16,0.16075446696982343
H19,13,0.0031123464215458167
H19,14,0.0018595558241750309
H19,11,0.0017054175733086556
H19,12,0.6915418749309457
H19,21,0.003335327466498577
H19,20,0.00244239697145871
H19,22,0.0038427615998456004
H19,23,0.002071324917170394
H19,24,0.0031702006666336604
H19,25,0.002090260246638285
H19,26,0.002418527391305151
H19,27,0.6424426939410011
H19,28,6.79419344862088E-4
H19,29,0.028133587300652206
H19,3,0.0014681675920402725
H19,2,0.04610596272473968
H19,10,0.0022957355676444424
H19,1,0.0025792511511505962
H19,0,0.002396426868832387
H19,7,0.004167524516133585
H19,30,0.005609366569502231
H19,6,0.6905980640402798
H19,5,0.012718636119085237
H19,32,0.0020474369771461983
H19,4,0.002157281455671189
H19,31,0.0034821793579110066
H19,9,0.0015980364103428198
H19,8,0.01732359773435478
H17,19,0.0012873113298292184
H17,17,0.003456061905525343
H17,18,0.012453198884601682
H17,33,0.006292589931818364
H17,15,0.018267044298656658
H17,34,0.0034481775626089587
H17,16,0.028880287139279544
H17,13,0.003639090414487522
H17,14,0.01571938367291318
H17,11,0.004470529502198655
H17,12,0.0029193633969046145
H17,21,0.0027415889952617416
H17,20,0.00359644411299129
H17,22,8.771397536828866E-4
H17,23,0.013770469565998766
H17,24,0.01825650666886572
H17,25,0.009732978126287224
H17,26,0.3565785117996317
H17,27,0.001080750307379916
H17,28,5.518629192289634E-4
H17,29,0.008287981256033174
H17,3,9.550297066517903E-4
H17,2,0.11532429826839584
H17,10,0.004273725105928137
H17,1,0.005153990038305185
H17,0,0.004514120379621445
H17,7,0.010709231229339469
H17,30,0.0036829822678999197
H17,6,0.0743323474281081
H17,5,0.0014965981909380993
H17,32,0.5709187839767208
H17,4,0.2554852828298846
H17,31,0.03696952226531307
H17,9,0.007107856327309279
H17,8,0.05252848387915213
H04,19,0.001426497195226713
H04,17,0.0012895107394526341
H04,18,0.0045036012763000535
H04,33,0.006460114828670239
H04,15,0.10959716895696688
H04,34,0.0012127164283718495
H04,16,0.002894906797268121
H04,13,0.0011746877440241142
H04,14,8.176895706455962E-4
H04,11,0.0376891486139572
H04,12,0.540600521564213
H04,21,0.005419119244876205
H04,20,0.001982696255033901
H04,22,0.9586831023982001
H04,23,0.029433381284009838
H04,24,0.00751531822677329
H04,25,0.059279009326761764
H04,26,0.005213051972035159
H04,27,0.0015153356383784474
H04,28,8.3648956850245E-4
H04,29,0.0012959316931918014
H04,3,5.952654097682176E-4
H04,2,0.061366662147057285
H04,10,0.004607685141492049
H04,1,0.007499253322177089
H04,0,0.41921616545933915
H04,7,0.002753195217188199
H04,30,0.0031095181171991665
H04,6,0.014952932285477743
H04,5,0.002761146121084522
H04,32,0.0018796218235581945
H04,4,0.12439372282504141
H04,31,0.004525417719552526
H04,9,0.034142206634720125
H04,8,0.016874689088680405
H18,19,0.0016045268704883648
H18,17,0.0016139650593415629
H18,18,0.14325980673022223
H18,33,0.012457250066128009
H18,15,0.012428769062496988
H18,34,0.0026750369334084248
H18,16,0.0011892074881452543
H18,13,7.871590027099438E-4
H18,14,0.003116954923096761
H18,11,8.844777042490856E-4
H18,12,0.008091844071785306
H18,21,0.0014770909203747108
H18,20,0.04087146970506946
H18,22,7.076556457567604E-4
H18,23,0.3461873490041519
H18,24,0.0032148168697567476
H18,25,0.0020585462557626776
H18,26,0.001372981795915837
H18,27,0.008454423891445717
H18,28,0.0010279455301873525
H18,29,7.561412453602848E-4
H18,3,4.6498206200074076E-4
H18,2,0.00864264304755421
H18,10,0.001094255888841278
H18,1,0.01487522295009021
H18,0,0.0021539113821333914
H18,7,0.028392823305052464
H18,30,0.021681436225059695
H18,6,0.010918016715053942
H18,5,0.0502076881239042
H18,32,0.1550781747081432
H18,4,0.06093550992402897
H18,31,0.01246941187752452
H18,9,0.002331576947515865
H18,8,0.01785395125169617
H05,19,9.666122262395416E-4
H05,17,0.008846834727736869
H05,18,0.008259078444604873
H05,33,0.0017189925192585393
H05,15,0.0021485025595592245
H05,34,0.006194154387828874
H05,16,0.8427433698529496
H05,13,0.001357114066471559
H05,14,8.854222406440523E-4
H05,11,0.003161909152012501
H05,12,0.17955242884949807
H05,21,0.0010638649912473417
H05,20,0.002677675477837369
H05,22,0.013910497636301667
H05,23,0.003165196132131598
H05,24,0.014278623009217587
H05,25,0.007792661767321104
H05,26,0.004579652501723022
H05,27,0.0014293444795893298
H05,28,0.02580172869174435
H05,29,0.1017548373495127
H05,3,0.014864423386891033
H05,2,0.049818361640129795
H05,10,0.11706581383650029
H05,1,0.006212005171316107
H05,0,0.028486537428736615
H05,7,0.0029420434599499693
H05,30,0.001870246321081457
H05,6,0.0010740220901098924
H05,5,0.18413479636857366
H05,32,0.029704978144596612
H05,4,0.1276360528839673
H05,31,0.029296407812489888
H05,9,0.0035985335029455868
H05,8,0.01411427140945535
H15,19,0.0025095717465833645
H15,17,0.029595830844854582
H15,18,0.014328585820239482
H15,33,0.002493676445129323
H15,15,0.5611904882072262
H15,34,0.1439482415375731
H15,16,0.1422269479981818
H15,13,0.0012862336680552501
H15,14,0.0016999023856809385
H15,11,0.015843188291327873
H15,12,0.005034347793658898
H15,21,0.0013165752079481584
H15,20,0.0026031188359791763
H15,22,0.30662523665650276
H15,23,0.002188687229202241
H15,24,0.036520012058074064
H15,25,0.003898311463433739
H15,26,0.001865099720909632
H15,27,0.0017938317198218355
H15,28,0.015458197698578521
H15,29,0.18547406513620276
H15,3,3.327619675079867E-4
H15,2,0.002775171212648158
H15,10,0.2773147928733457
H15,1,0.026199848895146528
H15,0,0.0013696783734656747
H15,7,0.0030836454570332904
H15,30,0.0024853072426304916
H15,6,0.00954989542511184
H15,5,0.0011415244986046327
H15,32,0.0021319512354826243
H15,4,0.0022376166057858945
H15,31,0.005694555532303308
H15,9,0.0016406350591596727
H15,8,0.003147271397466449
H06,19,8.288749192348597E-4
H06,17,0.07272005785119193
H06,18,0.016356090437933353
H06,33,0.0038728355536763017
H06,15,0.0065648308051848275
H06,34,0.14625171371898366
H06,16,0.00164916616144716
H06,13,9.872602787480652E-4
H06,14,3.903177761570715E-4
H06,11,0.2995213855651153
H06,12,0.06102972336084156
H06,21,0.13887199477267542
H06,20,0.0062765363378910494
H06,22,0.0013699337541356151
H06,23,0.0019786037696598005
H06,24,4.440015698579606E-4
H06,25,0.0038069161677307365
H06,26,0.0464555320642795
H06,27,0.0010218654373676296
H06,28,0.0016570329162220103
H06,29,0.009913578293721222
H06,3,3.3503032891528997E-4
H06,2,0.0033229408384602695
H06,10,0.003974498599918219
H06,1,0.0017162973420297557
H06,0,0.0011958014814765542
H06,7,0.004949371426997403
H06,30,0.0012999630258536219
H06,6,0.016865816964045533
H06,5,0.0011825702861909973
H06,32,8.845931732555968E-4
H06,4,0.002232560532905732
H06,31,0.006424706437903322
H06,9,0.0013554996339529151
H06,8,0.004558732938744587
H16,19,0.004248412129407312
H16,17,0.0034988844785317687
