silver-infovis-topics--userI.txt,lda_35_0.1_0.01,Score
I20,19,0.0015258997055255226
I20,17,9.561027405756995E-4
I20,18,1.666784886834413E-4
I20,33,6.10631817968919E-5
I20,15,0.0023474351521356645
I20,34,0.0068078525183727645
I20,16,0.0055073853216521165
I20,13,0.0030170317917359527
I20,14,0.0010409747849230463
I20,11,0.005949095623955065
I20,12,0.0016289291552873686
I20,21,0.0011732433736441935
I20,20,0.0030478978493332846
I20,22,2.601822160623856E-4
I20,23,0.0013034932983373333
I20,24,4.540975648110018E-4
I20,25,0.0028171511169638756
I20,26,0.036261061222605216
I20,27,0.5458107107966266
I20,28,6.06638677345142E-4
I20,29,3.478000307930004E-4
I20,3,0.004117486168182281
I20,2,6.116750997922443E-4
I20,10,0.0011158437968050805
I20,1,0.0027875424498370696
I20,0,0.0014188208973807284
I20,7,0.0010885667260158208
I20,30,0.0010484151447179178
I20,6,8.023632370510927E-4
I20,5,0.09293110193135824
I20,32,8.819071856716936E-4
I20,4,9.97462692049722E-4
I20,31,0.29339578393256904
I20,9,0.0033412562187654714
I20,8,3.822254445913995E-4
I12,19,0.0025928858884043506
I12,17,0.009386854067622881
I12,18,0.007186737490227176
I12,33,9.08041610127335E-4
I12,15,0.0036568269138204106
I12,34,0.15477198155850128
I12,16,0.0040251213378288955
I12,13,0.0023787417637858997
I12,14,0.004206934243879295
I12,11,0.9236146743268018
I12,12,0.024639724071559174
I12,21,0.006126904941441101
I12,20,0.003027986148625639
I12,22,0.01006405928171767
I12,23,0.16955574298717163
I12,24,0.0045162348414170975
I12,25,0.006648667266274289
I12,26,0.003089224370188624
I12,27,0.001972022298171044
I12,28,0.013007966814952884
I12,29,0.0011215553234607356
I12,3,0.003507322813671308
I12,2,0.0016063063323895753
I12,10,0.018302378094755847
I12,1,9.854323875153135E-4
I12,0,0.010774033833600547
I12,7,0.0020657912715743277
I12,30,0.0354415105936547
I12,6,0.004794520310143066
I12,5,0.19227614266190485
I12,32,0.0034403153117717696
I12,4,0.002263734607697792
I12,31,0.057252687613667266
I12,9,0.002327992113749147
I12,8,0.05460184751714709
I13,19,0.003638229545186559
I13,17,0.03725223681541137
I13,18,0.0011496269638503274
I13,33,0.0017403932017792164
I13,15,0.002249395291448432
I13,34,0.11761562165903369
I13,16,0.0019515868488617831
I13,13,9.422337419130762E-4
I13,14,0.005120271972006886
I13,11,0.05689205310978975
I13,12,0.0015044876715145528
I13,21,0.005346360377170551
I13,20,0.0022625107768192714
I13,22,0.012273476316299938
