silver-infovis-topics--userJ.txt,lda_5_0.001_0.1,Score
J20,3,0.20504004664820424
J20,2,0.0877444763966862
J20,1,0.0195460185547785
J20,0,0.004250662887168318
J20,4,0.01296023801125042
J21,3,0.032338895877640036
J21,2,0.026884884913611466
J21,1,0.023317340259152917
J21,0,0.08381685191823086
J21,4,0.02836745412984296
J22,3,0.3120132010171742
J22,2,0.00784781859267099
J22,1,0.04089991763869479
J22,0,0.04381084293282022
J22,4,0.004345406147429977
J17,3,0.004227261778032194
J17,2,0.060467585765098905
J17,1,0.014050240751040492
J17,0,0.20352888208981934
J17,4,0.006842016990906412
J08,3,0.005001362526874876
J08,2,0.38359947344735223
J08,1,0.023936375006799928
J08,0,0.04870516337640513
J08,4,9.707507271901717E-4
J18,3,0.00949945096412107
J18,2,0.038258689618168626
J18,1,0.1445284790736725
J18,0,0.06505563545852142
J18,4,0.0052162536502610365
J09,3,0.012647411258182046
J09,2,0.08431773308541225
J09,1,0.05986309440747339
J09,0,0.0030499146987125556
J09,4,0.005621751534533213
J19,3,0.02505233770310746
J19,2,0.047635904709929046
J19,1,0.006917624639020968
J19,0,0.24852668569941222
J19,4,0.03170792978000226
J06,3,0.005067927942525415
J06,2,0.3380284714693797
J06,1,0.8246821768792301
J06,0,0.06214961075424754
J06,4,0.02010499341656194
J07,3,0.0019113847606336495
J07,2,0.015799979868516882
J07,1,0.001744827110716582
J07,0,0.051788496077829045
J07,4,0.0011475663567839754
J01,3,0.9753134340534889
J01,2,0.046322061993412655
J01,1,0.014834279943062667
J01,0,0.17536861105323465
J01,4,0.016949641088003977
J10,3,0.055611790119208804
J10,2,0.017676811273869227
J10,1,0.08147012489504513
J10,0,0.005224385980603494
J10,4,0.03977836724506643
J12,3,0.0032273572292656635
J12,2,0.32751641653601626
J12,1,0.06793092356025057
J12,0,0.0010473486693112807
J12,4,5.347090073125874E-4
J11,3,0.002836386007821832
J11,2,0.05848324016402924
J11,1,0.2272722513407926
J11,0,0.01142340746758988
J11,4,0.00272634052256631
J14,3,0.025468735973746565
J14,2,0.04946919159276944
J14,1,0.08240729491608662
J14,0,0.4184533690621005
J14,4,0.007417927895460489
J05,3,0.016387650180567433
J05,2,0.0915499812290295
J05,1,0.8111316338597433
J05,0,0.06360126361232578
J05,4,0.04017481267601989
J04,3,0.0067555560605797645
J04,2,0.181473985613947
J04,1,0.7942492516461432
J04,0,0.13399130896517714
J04,4,0.015016248336878578
J13,3,0.005046449363434386
J13,2,0.24821652677758008
J13,1,0.06271250415973843
J13,0,0.09004119938748355
J13,4,0.013221574460756624
J16,3,0.001975891615723828
J16,2,0.06091162174832014
J16,1,0.11972647267389587
J16,0,0.02348381322059021
J16,4,0.02949503045998224
J03,3,0.07025844543932684
J03,2,0.04960601401882598
J03,1,0.0174444710688606
J03,0,0.1534807600219246
J03,4,0.10537156686412143
J15,3,0.00163192114215679
J15,2,0.007423395167233278
J15,1,0.025580853933165046
J15,0,0.04528732051064558
J15,4,0.002517165704958798
J02,3,0.7822288485246809
J02,2,0.4674122478549958
J02,1,0.008840122685045292
J02,0,0.1438046353329876
J02,4,0.01510762463507836
