silver-infovis-topics--userA.txt,lda_20_0.001_0.001,Score
A20,19,0.2577199596815489
A20,17,0.004174863000021156
A20,18,0.004603165862249874
A20,15,0.027964127942840367
A20,16,0.03729212043415491
A20,13,0.28143410077056863
A20,14,0.21580512893864975
A20,11,0.001918587833203134
A20,12,6.960003766662805E-4
A20,3,0.003271055938974661
A20,2,0.005464245540472107
A20,1,0.01057362057117928
A20,10,0.007754827752486479
A20,0,0.0029692271153662878
A20,7,0.004683986318690845
A20,6,0.0096530536403395
A20,5,0.84928667011184
A20,4,0.010950116767898888
A20,9,0.012963664406179307
A20,8,0.026728940955272368
A19,19,0.02899146089013583
A19,17,0.016736932981269798
A19,18,0.0022765458750597344
A19,15,0.02099746604066731
A19,16,0.009013742567405367
A19,13,0.7800146422241535
A19,14,0.06569686684829751
A19,11,0.9053656586785
A19,12,0.0108087858601771
A19,3,0.033939071800224395
A19,2,0.022218701311945723
A19,1,4.107782104207751E-4
A19,10,0.10131767869434843
A19,0,0.9024620652618818
A19,7,0.0032326275805149127
A19,6,0.05807439039405807
A19,5,0.1766954649244205
A19,4,0.009697458935453396
A19,9,0.09637968559587241
A19,8,0.0055133606377484904
A18,19,0.013723472199378485
A18,17,0.009458375732189616
A18,18,0.004900977943188073
A18,15,0.002527931041767089
A18,16,0.011194591410887418
A18,13,0.01157530607583732
A18,14,0.002424319013744427
A18,11,0.047319528964637904
A18,12,9.85049349059689E-4
A18,3,0.823707868017413
A18,2,0.014399629721949045
A18,1,0.016619819872031504
A18,10,0.002467110689163148
A18,0,0.044099873400785056
A18,7,0.006072375073711602
A18,6,0.003807077844887394
A18,5,0.003521640776025635
A18,4,0.012254882754579565
A18,9,0.002769083344892029
A18,8,0.006487347616300267
A09,19,0.12146482303687087
A09,17,0.002039545515386928
A09,18,0.025210540095192302
A09,15,0.002633091130787612
A09,16,0.2151334405462684
A09,13,0.005536590299575552
A09,14,0.0017753485324888993
A09,11,0.0015483761466825686
A09,12,0.001863568173351221
A09,3,0.0049867736630229845
A09,2,0.0017252582749535574
A09,1,2.725986707187683E-4
A09,10,0.0018165756257406483
A09,0,0.0027963739709317126
A09,7,0.003517016702236021
A09,6,0.0011405105234149802
A09,5,0.0015026285905276513
A09,4,8.58953686999101E-4
A09,9,0.004152214080645796
A09,8,0.0033562465902320406
A08,19,0.18547760045081846
A08,17,0.0022290360295598582
A08,18,0.4783707621610994
A08,15,5.527746526288221E-4
A08,16,0.04845027940904664
A08,13,0.0040643173598525414
A08,14,0.001887856453965638
A08,11,4.2156306732237816E-4
A08,12,0.0019889613887174615
A08,3,0.0023808524634268222
A08,2,0.0014364512905928597
A08,1,2.0766420147356378E-4
A08,10,0.024561971631094456
A08,0,0.006703575915343012
A08,7,0.0018391876700223602
A08,6,0.003542084421048112
A08,5,0.05147573621509294
A08,4,0.007963579493519926
A08,9,0.03169352882701997
A08,8,0.29118642031150777
A07,19,0.37369342345759254
A07,17,0.032863430061138316
A07,18,0.40900807459555827
A07,15,0.06473143984233652
A07,16,0.033590038342450494
A07,13,0.23470140142583748
A07,14,0.007049542507132307
A07,11,0.0021751496607764985
A07,12,0.014470739133967946
A07,3,0.0029999717207266855
A07,2,0.0034070464554125427
A07,1,0.004559081019798633
A07,10,0.0016447283077297423
A07,0,0.002814142027860517
A07,7,0.01244510685630924
A07,6,0.06939848781275532
A07,5,0.07727905425388873
A07,4,0.036906559183257096
A07,9,0.002409792369116717
A07,8,0.006689106972862688
A02,19,0.004590549499452451
A02,17,0.0043274538935564565
A02,18,0.1939767023384196
A02,15,0.07123621754865954
A02,16,0.0062519936820256685
A02,13,0.11311896392973105
A02,14,0.002413985277815403
A02,11,0.0026217062964596976
A02,12,0.006951530901841995
A02,3,0.01576894869672217
A02,2,0.0057424453535791144
A02,1,0.003064090067062648
A02,10,0.005115460013561408
A02,0,0.13076802754722316
A02,7,0.218357763853996
A02,6,0.018600234582206353
A02,5,0.002703124780763035
A02,4,0.0032421475107091663
A02,9,0.0019561345883597754
A02,8,0.005454803693760399
A11,19,0.015037218973218674
A11,17,0.0013095310685441444
A11,18,0.0041226138062071165
A11,15,0.012161909442618394
A11,16,0.025703261946470175
A11,13,0.0979131225307318
A11,14,0.0016290089844510894
A11,11,0.0020732439549919356
A11,12,0.00636237743578991
A11,3,0.013274380041504288
A11,2,0.010031555736857512
A11,1,0.0014817865389421029
A11,10,0.10162110011503728
A11,0,0.10753828403498125
A11,7,0.1889221661924977
A11,6,0.004752035397328914
A11,5,0.08542859302160831
A11,4,0.2951154545681486
A11,9,0.003298070024503536
A11,8,0.04497837333022329
A01,19,0.009458908517958737
A01,17,0.0044061046818166145
A01,18,0.3100419610852788
A01,15,0.3524775651767158
A01,16,0.18361405638768943
A01,13,0.057722165216493
A01,14,0.01367475475049433
A01,11,0.0014496013616105143
A01,12,0.04673758959604399
A01,3,0.007628593886585253
A01,2,0.010279010367345126
A01,1,0.020570212616036476
A01,10,0.001862444279940559
A01,0,0.13211039829749885
A01,7,0.020355988511528842
A01,6,0.010680338786862007
A01,5,0.019352908825800874
A01,4,0.04868317398095487
A01,9,0.003810321530485942
A01,8,0.04091129098427908
A10,19,0.0021321525952688104
A10,17,9.118708504228788E-4
A10,18,0.004273702961702637
A10,15,0.0016821368839684454
A10,16,0.0034006541089785444
A10,13,0.008687625954023908
A10,14,0.0032622218909265214
A10,11,0.022724197092761196
A10,12,0.00336262056242061
A10,3,0.0029879589603439847
A10,2,0.005519595054239903
A10,1,0.00176226106398698
A10,10,0.017381997870652637
A10,0,0.0696792652154293
A10,7,0.003618147630368905
A10,6,0.8931318956524739
A10,5,0.002809178120318013
A10,4,0.005384363661980568
A10,9,0.2172984027603977
A10,8,0.12721545554457903
A13,19,0.001777425681671459
A13,17,0.8544429354545074
A13,18,0.01422076026602742
A13,15,7.793615509925195E-4
