silver-infovis-topics--userB.txt,lda_50_0.001_0.001,Score
B19,35,3.155151885154563E-4
B19,36,0.003091675985113797
B19,33,0.4367345930523462
B19,34,0.0026060581027676664
B19,39,2.668888780129177E-4
B19,37,0.010506098212154574
B19,38,0.0017834709293026985
B19,43,0.007645059478889689
B19,42,0.0012185547126055565
B19,41,0.006949107741387649
B19,40,6.831425682629833E-4
B19,22,0.0029765774418320703
B19,23,4.091484806450762E-4
B19,24,0.001924681121841439
B19,25,0.009075518332292714
B19,26,0.037817577462558274
B19,27,2.5886277896834724E-4
B19,28,4.6902866026034886E-4
B19,29,3.242800469736644E-4
B19,3,0.0010880385664282807
B19,2,0.001136989148625919
B19,1,6.996392822530482E-4
B19,0,0.003370104729613222
B19,30,0.002359116046629858
B19,7,6.941264877942649E-4
B19,6,6.429026956149437E-4
B19,32,5.035468962591129E-4
B19,5,6.131695151360376E-4
B19,31,9.381665601179708E-4
B19,4,4.474448080287872E-4
B19,9,0.0031013659132402907
B19,8,8.113314155485423E-4
B19,19,4.3670959717876745E-4
B19,17,6.977714281298678E-4
B19,18,9.385244659616542E-4
B19,15,0.005008010595422728
B19,16,0.0016453151933516813
B19,13,0.002389092765587464
B19,14,9.793137145229132E-4
B19,11,0.027883404662337026
B19,12,5.801116492023348E-4
B19,21,0.0015794782284399272
B19,20,0.0017073292278360624
B19,49,0.06186796237455589
B19,48,0.0025008172148488494
B19,45,7.329603677302459E-4
B19,44,0.0011246821461396333
B19,47,0.8784311773397617
B19,46,0.0012419016632692534
B19,10,0.007573316816566294
B06,35,5.418861457623629E-4
B06,36,0.004157231641203368
B06,33,0.0020334686021866296
B06,34,0.047308200518026804
B06,39,0.004641466883455879
B06,37,0.16090538981179967
B06,38,0.007205752867795564
B06,43,0.003951450976997665
B06,42,0.0027402958110388518
B06,41,0.006787924520502656
B06,40,0.0038086856391542972
B06,22,0.004049460217471053
B06,23,4.698742496739642E-4
B06,24,0.0015825477390325122
B06,25,0.012486768347020817
B06,26,0.2585589420035087
B06,27,0.07334764499885443
B06,28,0.4693137388502486
B06,29,6.29712499520858E-4
B06,3,0.0012489333921907847
B06,2,0.007604337576244845
B06,1,0.0011524121600691758
B06,0,0.0014559464329359853
B06,30,0.0011642020504155361
B06,7,0.0022987877190417255
B06,6,0.0015803770908538206
B06,32,0.0016934617112715393
B06,5,0.10774708852875724
