silver-infovis-topics--userC.txt,lda_50_0.001_0.001,Score
C16,35,5.36517694998994E-4
C16,36,0.07078699836268533
C16,33,0.0034727547814189246
C16,34,0.0013577065253150876
C16,39,3.340661864195459E-4
C16,37,0.030757507624117796
C16,38,0.866392061268328
C16,43,0.0012115078778401735
C16,42,0.9452955520327563
C16,41,0.004616537708928531
C16,40,0.0024912328814241575
C16,22,0.0020852251511450422
C16,23,0.010139782096792699
C16,24,0.0015894300362851545
C16,25,0.012512294974321662
C16,26,0.0016372504568714858
C16,27,0.015922278724866023
C16,28,0.06408964096895181
C16,29,0.002640090854694409
C16,3,0.0012439679183998988
C16,2,0.0014972086556491572
C16,1,7.880244773806025E-4
C16,0,0.0019410732314688753
C16,30,0.0010855859060541907
C16,7,0.004035471082766545
C16,6,9.1874300368628E-4
C16,32,9.201821455547035E-4
C16,5,0.6623085575384177
C16,31,0.0011398733219072064
C16,4,0.005862413216962127
C16,9,0.0041488342501018825
C16,8,4.4401203176306524E-4
C16,19,0.13100483646208436
C16,17,0.0028020668259377286
C16,18,0.0030879470335803704
C16,15,0.002304184936142972
C16,16,0.007592170609183198
C16,13,0.008881215274812407
C16,14,0.0013629352927054168
C16,11,0.003817113062209209
C16,12,0.0038176416990076344
C16,21,0.00244455815430947
C16,20,0.15534048991541693
C16,49,0.002719670220304012
C16,48,0.22285393531727477
C16,45,0.0013106268345881053
C16,44,0.002879475663855514
C16,47,0.001204808967922033
C16,46,0.02335922342749522
C16,10,0.002673205969877505
C07,35,1.5801610421180615E-4
C07,36,0.0015988841645093973
C07,33,0.001581451780606001
C07,34,0.001155899678601774
C07,39,0.010458442008070067
C07,37,0.004900955600788605
C07,38,2.14056261777624E-4
C07,43,0.015365665620469772
C07,42,0.0031472434902644576
C07,41,0.016983277814602477
C07,40,0.1206542379784373
C07,22,0.004795979590375233
C07,23,0.0028280693919395146
C07,24,0.0011837616498788363
C07,25,7.925965763231354E-4
C07,26,0.4348392150267593
C07,27,0.011799908276098961
C07,28,3.050789605866512E-4
C07,29,0.025087817599730066
C07,3,0.09953228797717925
C07,2,0.0011708252221151148
C07,1,0.1785856544958781
C07,0,0.0012308864743160789
C07,30,0.08680354690358312
C07,7,9.897204682758768E-4
C07,6,0.04090525398413669
C07,32,0.007092426835115099
C07,5,1.7225664870078254E-4
C07,31,0.001011047441139673
C07,4,0.0393008803212631
C07,9,0.5438459937256529
C07,8,6.277568820033342E-4
C07,19,0.0011546414387706842
C07,17,0.22182247576296826
C07,18,0.09103452898511939
C07,15,0.0020971083519056998
C07,16,0.0031342655668185324
C07,13,7.196781219784E-4
C07,14,0.002169222492636828
C07,11,0.0016844434548946284
C07,12,0.09819550367353956
C07,21,0.015453069940277092
C07,20,0.001202940828076299
C07,49,0.002471568082066745
C07,48,0.004277059797925809
C07,45,6.927853969021737E-4
C07,44,9.384374207836475E-4
C07,47,0.0015062747941773016
C07,46,0.0010476270811906859
C07,10,0.00491853502952629
C17,35,0.0011323410843061693
C17,36,0.0046990973038283125
C17,33,0.0016063070795402526
C17,34,0.0016284199766294961
C17,39,0.0013803700343704938
C17,37,0.0012467895018317466
C17,38,2.684093183356972E-4
C17,43,0.3246242875750414
C17,42,6.717217416543079E-4
C17,41,0.0014709159623729066
C17,40,0.34604320111756853
C17,22,0.002373852808158253
C17,23,1.6908156583294044E-4
C17,24,0.002617366523426472
C17,25,9.091197254166061E-4
C17,26,0.10755887193687211
C17,27,0.0010426984105627755
C17,28,3.252514354826188E-4
C17,29,5.10205320667234E-4
C17,3,0.5508510346504312
C17,2,0.3065352073833183
C17,1,0.012429656354509546
C17,0,0.002703362244045199
C17,30,0.004097642410276885
C17,7,0.15299796709711905
C17,6,0.005152946538204586
C17,32,0.0021467006951661743
C17,5,0.001611882642937235
C17,31,0.006928581314636281
C17,4,8.675869081574614E-4
C17,9,0.14310953315206626
C17,8,8.214953168527983E-4
C17,19,5.549160053540327E-4
C17,17,0.03694914567059462
C17,18,0.0016349495403836802
C17,15,0.001999589646577653
C17,16,0.001289782852602767
C17,13,0.0031194297527399896
C17,14,0.00460420665875871
C17,11,0.014847093155175455
C17,12,0.0025030184881846182
C17,21,0.013848877844639186
C17,20,0.0022883001869955745
C17,49,0.0029400248810419116
C17,48,0.002646333736979952
C17,45,0.0010526548767151108
C17,44,0.004555971211047236
C17,47,0.004249166364826919
C17,46,0.0016400080889650396
C17,10,0.012497024802228857
C08,35,4.6155079029265025E-4
C08,36,0.0038679190922056928
C08,33,0.0013336331461442088
C08,34,9.206880073162804E-4
C08,39,5.884022918690311E-4
C08,37,0.003679792335813702
C08,38,0.001058242359031949
C08,43,0.008356094002775693
C08,42,0.0030303720860989404
C08,41,0.007617001468737709
C08,40,8.901906794318834E-4
C08,22,0.3587604784591572
C08,23,0.4662862358075539
C08,24,0.0023823602535963206
C08,25,0.0076021583888076305
C08,26,0.0011389695527150394
C08,27,0.005495319438069991
C08,28,0.008559791635792999
C08,29,0.012637712764928076
C08,3,0.0024539296384538203
C08,2,0.0016889590130284066
C08,1,0.0011772011237676102
C08,0,0.0011461106058990493
C08,30,7.694365435060815E-4
C08,7,0.0018123341904603245
C08,6,0.014233412184766507
C08,32,0.989258606769572
C08,5,0.020886138592823074
C08,31,0.0016168767119972304
C08,4,0.11053715361632573
C08,9,3.8537620307897214E-4
C08,8,0.0032274274340610963
C08,19,0.0028336272570735547
C08,17,7.303139550169422E-4
C08,18,0.001336288550970446
C08,15,0.0011500306840823728
C08,16,0.0021806108684137623
C08,13,0.007414410736754557
C08,14,0.002878409059418984
C08,11,0.0013139311014751594
C08,12,7.871847619618885E-4
C08,21,0.007023659925917745
C08,20,0.002431641060772521
C08,49,0.004627989859512362
C08,48,0.003093065133946662
C08,45,7.244487517162558E-4
C08,44,0.011795438977468478
C08,47,0.01138792701145947
C08,46,0.008112077295343098
C08,10,0.00379505223776519
C18,35,5.149049233563262E-4
C18,36,0.0042028537360159915
C18,33,0.0011546457742640274
C18,34,5.250108813703086E-4
C18,39,4.0063996539346113E-4
C18,37,5.535484683797488E-4
C18,38,0.0013030730292983678
C18,43,0.010492947293406987
C18,42,3.221089869610558E-4
C18,41,6.933209631945314E-4
C18,40,0.0012137171294020026
C18,22,0.004155860798844129
C18,23,6.631793904802864E-4
C18,24,0.0015247646694902446
C18,25,8.811170897103613E-4
C18,26,0.03992517750161537
C18,27,0.001063105495493428
C18,28,3.573803477479987E-4
C18,29,0.021858619564983726
C18,3,0.0010954189418394414
C18,2,0.50515342358365
C18,1,6.291041117046064E-4
C18,0,0.004083354186344227
C18,30,0.0011918711837673045
C18,7,0.051289394035296046
C18,6,0.0016725622142645118
C18,32,0.002776275912672277
C18,5,4.965420843680324E-4
C18,31,0.001095785342177396
C18,4,6.807169385609482E-4
C18,9,0.0010889930375340068
C18,8,0.1226870798377818
C18,19,9.151960523519681E-4
C18,17,0.0016835117833561605
C18,18,0.0011243364120590233
C18,15,0.003756197409788393
