silver-infovis-topics--userF.txt,lda_20_0.0001_0.01,Score
F11,19,0.015175096881162869
F11,17,0.003522451247541367
F11,18,0.009847297071364598
F11,15,0.0033571469986894667
F11,16,0.08830771532239352
F11,13,0.004738630244877678
F11,14,0.004927192661842904
F11,11,0.011449324609414327
F11,12,0.005829194731263223
F11,3,0.0029886727307602847
F11,2,0.011340252512561043
F11,1,0.012745705709519951
F11,10,0.01365215871688263
F11,0,0.02290532673174332
F11,7,0.03322393796433311
F11,6,0.02544377189733931
F11,5,0.0035929795202109503
F11,4,0.12262645077639851
F11,9,0.17751835333350416
F11,8,0.0024631676249933215
F12,19,0.003245779898919129
F12,17,0.08380381436614652
F12,18,0.0011014165456136238
F12,15,0.01922214516584997
F12,16,0.006869239635907966
F12,13,0.09198672405289117
F12,14,0.006044271873736127
F12,11,0.6752385605309228
F12,12,0.004595504336052611
F12,3,0.271707326168129
F12,2,0.03045929150438194
F12,1,0.002122641973550142
F12,10,0.009056188565485429
F12,0,0.002798743054603357
F12,7,0.06245341671322813
F12,6,0.0038446417232300776
F12,5,0.0011563720086948221
F12,4,0.578341291166101
F12,9,0.0013818065993270211
F12,8,0.00219074986901804
F01,19,0.10938521545473344
F01,17,0.9689135732040867
F01,18,0.6131685595887966
F01,15,0.020184937642229523
F01,16,0.0077156384409777425
F01,13,0.40327240172817275
F01,14,0.04925576694066949
F01,11,0.020980417568464613
F01,12,0.9630737067018285
F01,3,0.025404979311523877
F01,2,0.03447021909945784
F01,1,0.06426620652541949
F01,10,0.06008571922705178
F01,0,0.007191087062105208
F01,7,0.30391925019055044
F01,6,0.004857288197231341
F01,5,0.005297992477564829
F01,4,0.007714304585522244
F01,9,0.02371440372894463
F01,8,0.03876484124397004
F10,19,0.03283721175055849
F10,17,0.02635097289441583
F10,18,0.0016110180266045808
F10,15,0.01895154508436209
F10,16,0.00739611224727145
F10,13,0.2423760599883504
F10,14,0.02426428615583747
F10,11,0.007700815333600057
F10,12,0.001389404510023132
F10,3,0.003912952912433972
F10,2,0.00890229085782199
F10,1,0.0039851389353133485
F10,10,0.02244526424340911
F10,0,0.026068043733749196
F10,7,0.19173253220372677
F10,6,0.02696133517982798
F10,5,0.9813144032072681
F10,4,0.005947100426241941
F10,9,0.004092261759212175
F10,8,0.011036227915023322
F19,19,0.006482910107385158
F19,17,0.0020784389763692152
F19,18,0.005256507800018717
F19,15,0.06880454271211324
F19,16,0.006721997015454953
F19,13,0.9405911273491321
F19,14,0.03962244444549249
F19,11,0.1675954593819611
F19,12,0.004269033576873612
F19,3,0.007790882264311287
F19,2,0.029022800662757677
F19,1,0.010482157059550481
F19,10,0.005502078502881505
F19,0,0.04516114492227523
F19,7,0.1526779485770301
F19,6,0.003119520314091521
F19,5,0.0037213953617812
F19,4,0.01764236979134318
F19,9,0.003983702943238981
F19,8,0.005557157056609099
F06,19,0.007903200622738093
F06,17,0.00815554786578737
F06,18,0.00465370322731424
F06,15,0.008904831128664345
F06,16,0.019691145878722977
F06,13,0.005533062927188522
F06,14,0.027878015763092262
F06,11,0.01493077077139528
F06,12,0.028736869245344132
F06,3,0.006618545940541484
F06,2,0.10114018266993881
F06,1,0.7920193024241643
F06,10,0.26206183044342374
F06,0,0.0039634017154509685
F06,7,0.003103086535327867
F06,6,0.003233180579558835
F06,5,0.002621925759028721
F06,4,0.00420626861889178
F06,9,0.0035532775498033245
F06,8,0.3471090353055106
F07,19,0.034072928449133746
F07,17,0.0013057347282298232
F07,18,6.574223867063215E-4
F07,15,0.32623276323118233
F07,16,0.0039256424940859415
F07,13,0.0043319066420183594
F07,14,0.003615925708358244
F07,11,0.0013028063529134059
F07,12,0.0023161257926262876
F07,3,0.0031771270340753954
F07,2,0.007084778473246007
F07,1,0.003136155456716405
F07,10,0.003016861473428795
F07,0,0.006662407227526668
F07,7,0.001972017425616462
F07,6,0.005764729186768226
F07,5,0.002291829732386355
F07,4,0.06125661325547305
F07,9,0.36754087948359815
F07,8,0.013029081891361323
F17,19,0.005263498485247757
F17,17,0.004491403951113633
F17,18,6.671823199398591E-4
F17,15,0.0138709931518026
F17,16,0.003512068729967866
F17,13,0.0018890607804619756
F17,14,0.006646431091936913
F17,11,0.002348270343982562
F17,12,0.0044552266623891276
F17,3,0.003018558938225972
F17,2,0.003321779165148742
F17,1,0.57289093252672
F17,10,0.033535415510543023
F17,0,0.003284109462335096
F17,7,0.005134691115485099
F17,6,0.0025678938063607502
F17,5,0.002957305663560037
F17,4,0.005090004254955046
F17,9,0.0019420638007459803
F17,8,0.2728744259971552
F08,19,0.0049327637624873195
F08,17,0.002575363995117665
F08,18,0.0012942820808108746
F08,15,0.00331331464169806
F08,16,0.0017333502335088497
F08,13,0.03175498037734544
F08,14,0.006251472501491599
F08,11,0.0014645458153972452
F08,12,8.159739179814809E-4
F08,3,0.0028851464473229386
F08,2,0.00742828339933362
F08,1,0.006032923894588181
F08,10,0.0019177137671938726
F08,0,0.004713952937167166
F08,7,0.01605760744431611
F08,6,0.001811450930299606
F08,5,0.002485114442765193
F08,4,0.0048917462776371465
F08,9,0.0020058173039660047
F08,8,8.430248867905395E-4
F18,19,0.14424924275657636
F18,17,0.001726665379636542
F18,18,0.0661609926559458
F18,15,0.005055873981767691
F18,16,0.010901163133372482
F18,13,0.0021073132453230388
F18,14,0.003354029692390174
F18,11,0.017782500455406802
F18,12,0.004819376414880732
F18,3,0.03326857266036471
F18,2,0.008390538335543847
F18,1,0.004858774217149521
F18,10,0.0024872986160082173
F18,0,0.3035716627869493
F18,7,0.006646162723141385
F18,6,0.0993069554614982
F18,5,0.012922134564323501
F18,4,0.0028836315743522153
F18,9,0.05430947891831387
F18,8,0.0014201986942383436
F15,19,0.031862561799973585
F15,17,0.0018610378795866792
F15,18,0.002561389815033302
F15,15,0.005726695227472039
F15,16,0.028753011365882344
F15,13,0.005938215257901694
F15,14,0.0012974012190266066
F15,11,0.002874902160952201
F15,12,0.004783157889558467
F15,3,0.11964602979045656
F15,2,0.2844740624223246
F15,1,0.0051537161423336475
F15,10,0.004645417233350748
F15,0,0.04149717646503378
F15,7,0.0034745448241293186
F15,6,0.07310101383086276
F15,5,0.008192623024443981
F15,4,0.06113596662347122
F15,9,0.1502263938048436
F15,8,0.005964695791722391
F02,19,0.3327701975902503
F02,17,0.008929024114339964
F02,18,0.003954358748017471
F02,15,0.005811592257448842
F02,16,0.4610277205458558
F02,13,0.027481820229151993
F02,14,0.011505402828230782
F02,11,0.019666846612874423
F02,12,0.006144556202737156
F02,3,0.13693762498709622
F02,2,0.011161596572058148
F02,1,0.021887024689398342
F02,10,0.008932650140507445
F02,0,0.003970140832646512
F02,7,0.024017061142063246
F02,6,0.44088915507682663
F02,5,0.004597527579217654
F02,4,0.11384598981932743
F02,9,0.47314264381921456
F02,8,0.0012025209378474751
F16,19,0.00434504619195621
F16,17,0.012428201185392108
F16,18,0.004396747404220253
F16,15,0.012264627431174138
F16,16,0.16090648653270873
F16,13,0.001886305071269915
F16,14,5.481884156600052E-4
F16,11,9.722693881269677E-4
F16,12,0.005279967265523044
F16,3,0.0018714051207601955
F16,2,0.0011601098450709439
F16,1,9.401217809968966E-4
F16,10,0.01324128153061213
F16,0,0.040957892916858196
F16,7,6.333942491322958E-4
F16,6,0.003538666114246017
F16,5,0.0011263078712943312
F16,4,0.0025804399925803217
F16,9,0.07073594315133264
F16,8,0.010347658086287887
F03,19,0.0071934183217043455
F03,17,0.06976707131787062
F03,18,0.6508477130279058
F03,15,0.010727551828582649
F03,16,0.010811780861273976
F03,13,0.3668162223769046
F03,14,0.03512095527409496
F03,11,0.005603536264444508
F03,12,0.014950120641022939
F03,3,0.004903026982332705
F03,2,0.02862874592617103
F03,1,0.009660618529130843
F03,10,0.5362946712529871
F03,0,0.006091553540746323
F03,7,0.24718932698471677
F03,6,0.00543366728525529
F03,5,0.006140346784015568
F03,4,0.007218898150165211
F03,9,0.010942107082774235
F03,8,0.9755637064966385
F04,19,0.00713737896619714
F04,17,0.01958896329875785
F04,18,0.0015689704377903299
F04,15,0.043166680219320824
F04,16,0.005554617805143371
F04,13,0.446918631305136
F04,14,0.004679264084466639
F04,11,0.022660384502769783
F04,12,0.012231635589365986
F04,3,0.0054736513752721904
F04,2,0.014854517122347444
F04,1,0.006183656606448917
F04,10,0.02493630937207158
F04,0,0.015523488844159317
F04,7,0.003671417370702479
F04,6,0.004918174775444622
F04,5,0.007298335010819306
F04,4,0.004446385576954978
F04,9,0.0015523755930438557
F04,8,0.022600064835645486
F13,19,0.07236520331000101
F13,17,0.028670711380285232
F13,18,0.033726378823185556
F13,15,0.002949013878992674
F13,16,0.022131015979225586
F13,13,0.02934993021794007
F13,14,0.013391405363755184
F13,11,0.0034441544178960967
F13,12,0.002733468173604563
F13,3,0.002080065968534327
F13,2,0.32615760596311016
F13,1,0.7442110801615882
F13,10,0.0053394403803831
F13,0,0.004593601813280059
F13,7,0.21854707585975783
F13,6,0.048282723460918345
F13,5,0.029822922424615133
F13,4,0.04161637738821511
F13,9,0.04941148349959609
F13,8,0.019337611213155734
F05,19,0.0021703573975499755
F05,17,0.034762604135849764
F05,18,0.0011794469102228925
F05,15,0.005290975750873589
F05,16,0.07217337133555127
F05,13,0.2829646654164853
