silver-infovis-topics--userG.txt,lda_50_0.1_0.1,Score
G09,35,0.0012912525997901263
G09,36,7.603431311672004E-4
G09,33,0.0012768544677645697
G09,34,2.569493356738188E-4
G09,39,0.0010304397574018743
G09,37,0.10503102164368001
G09,38,0.08648727280955541
G09,43,0.0026855737286737296
G09,42,0.0012614048342126712
G09,41,1.7647784853308375E-4
G09,40,0.0025159880538683558
G09,22,0.003179596940549368
G09,23,0.002590286210156384
G09,24,0.0027226439221226632
G09,25,9.229539614252887E-4
G09,26,0.01004983916187151
G09,27,5.156384863935377E-4
G09,28,9.527401693063963E-4
G09,29,0.0013073246402813088
G09,3,7.044319250804201E-4
G09,2,3.213628424390447E-4
G09,1,0.009927218723008746
G09,0,0.002358289220253017
G09,30,2.3214113068143133E-4
G09,7,0.008695447115309356
G09,6,0.0033399032838946166
G09,32,0.003660324350336117
G09,5,0.02827467607428156
G09,31,6.06882718665447E-4
G09,4,0.04521065570812837
G09,9,0.0023553184581533836
G09,8,7.577063677931629E-4
G09,19,0.0017375730123612636
G09,17,3.2655678617310076E-5
G09,18,3.977885678409264E-4
G09,15,0.009598182576927123
G09,16,0.35131699384856474
G09,13,2.644478838950104E-4
G09,14,6.614676263200859E-4
G09,11,9.988552935300684E-4
G09,12,0.003222192757375213
G09,21,5.323675720118517E-4
G09,20,2.2093097620735563E-4
G09,49,0.011566034927949876
G09,48,0.00632639984303028
G09,45,0.003910335807874089
G09,44,0.36145483716993004
G09,47,0.0024858213602266177
G09,46,0.001772441820376623
G09,10,0.0019746954118246792
G15,35,4.343099910691501E-4
G15,36,9.539630851968358E-4
G15,33,0.001099469150855777
G15,34,0.0017248833086491136
G15,39,2.584415267299158E-4
G15,37,3.698401240698034E-4
G15,38,0.1075453955908662
G15,43,3.885331144167725E-4
G15,42,0.0021167607208364345
G15,41,0.0015964000807343248
G15,40,0.15888570582222242
G15,22,0.0022933704989415195
G15,23,0.001601141117535205
G15,24,0.0015980959539374424
G15,25,0.0281092873144499
G15,26,4.016621891110964E-4
G15,27,0.001116152582348437
G15,28,0.0016296602337563108
G15,29,8.512892048691047E-4
G15,3,7.495493654674409E-4
G15,2,0.16786362637282345
G15,1,0.002222214072929383
G15,0,0.0020139649225277226
G15,30,1.2192703692439085E-4
G15,7,4.758152190134478E-4
G15,6,0.0016360101893404088
G15,32,0.003048404805233555
G15,5,0.2814987398472726
G15,31,0.18223786481744567
G15,4,0.0010285101309989847
G15,9,0.008096648905704247
G15,8,7.208153822435483E-4
G15,19,0.02662196629935166
G15,17,4.193262501742925E-5
G15,18,3.3358504285053937E-4
G15,15,4.2614426478099167E-4
G15,16,0.009208171991561688
G15,13,0.14109864278929915
G15,14,6.68894425763971E-4
G15,11,0.34246522187724265
G15,12,0.0030582859544075695
G15,21,2.4063829001442867E-4
G15,20,0.008173897743055603
G15,49,0.005083445673377179
G15,48,0.0015311708779748188
G15,45,0.0019787779634025953
G15,44,7.880839518453622E-4
G15,47,7.405603358186392E-4
G15,46,0.0010547643965363339
G15,10,0.010004261570622341
G02,35,0.16610854909697512
G02,36,0.008275164832271338
G02,33,0.004212616357235901
G02,34,0.019028891088141917
G02,39,0.0010672862450878862
G02,37,0.002805343724200298
G02,38,0.9194023239305738
G02,43,0.004933669649710584
G02,42,0.004253209881959687
G02,41,0.32937623821869166
G02,40,0.0038874910456542506
G02,22,0.006085294447231055
G02,23,0.0024646350036697136
G02,24,0.0035406637839390568
G02,25,0.010014402048235869
G02,26,7.938693403338574E-4
G02,27,8.315058285276396E-4
G02,28,0.0045163503134394
G02,29,0.0022042764321777673
G02,3,0.001352735315887465
G02,2,6.334009535635047E-4
G02,1,0.0036281695363988503
G02,0,0.006404798111708234
G02,30,5.417271333314718E-4
G02,7,0.03680495566396023
G02,6,0.004733630552723011
G02,32,0.004289107850902798
G02,5,0.014442466466198255
G02,31,0.002580387159723822
G02,4,0.0021735082985351777
G02,9,0.006881526403720259
G02,8,0.001863272759092177
G02,19,0.001237389601610659
G02,17,0.008999448727732737
G02,18,0.9404295392484259
G02,15,0.024147209757209576
G02,16,0.0999767878785229
G02,13,0.016197220436440913
G02,14,9.089338872533489E-4
G02,11,0.1300535661509977
G02,12,0.003614800872340962
G02,21,0.002497462162239363
G02,20,0.0018047135249207277
G02,49,0.001959484469526676
G02,48,0.001647623125944009
G02,45,0.2791976199407873
G02,44,0.0023477925170413802
G02,47,0.0019820979121445777
G02,46,0.012858159952770152
G02,10,0.001655140140108607
G14,35,0.0018619265293925839
G14,36,0.008504091004938019
G14,33,0.004312414961402729
G14,34,0.0030941149200748143
G14,39,0.0016945276407292738
G14,37,0.0035186062051420115
G14,38,3.5014480818149236E-4
G14,43,0.16948794758388724
G14,42,8.413131325261398E-4
G14,41,0.15967152269448437
