silver-infovis-topics--userH.txt,lda_25_0.0001_0.01,Score
H09,19,0.008488990863539086
H09,17,0.013212447340015131
H09,18,0.008837823596034099
H09,15,0.008104965509829164
H09,16,0.0996929090750012
H09,13,0.005993946303075992
H09,14,0.019228110866854952
H09,11,0.005995490350801948
H09,12,0.01317792866612983
H09,21,0.45085491069924316
H09,20,0.22833571318401957
H09,22,0.08307757383719318
H09,23,0.0017817038589565902
H09,24,0.11732224602025053
H09,3,0.37897594941173496
H09,2,0.7220385251893767
H09,10,0.02367234688803409
H09,1,0.022151465710889554
H09,0,0.004929498102242508
H09,7,0.005639248764453717
H09,6,0.0038354845885220875
H09,5,0.15413747825992297
H09,4,0.024467205590409664
H09,9,0.004411968671361029
H09,8,0.09334481455814614
H08,19,0.0104149294000626
H08,17,0.001539141217971153
H08,18,0.001888454755568437
H08,15,0.41432338602045216
H08,16,0.0014253847925569953
H08,13,0.0035493094304571496
H08,14,2.733704535294327E-4
H08,11,0.0034826164671686245
H08,12,0.005565549812529856
H08,21,0.0015425413894151225
H08,20,0.040306711359846134
H08,22,0.011337914473087095
H08,23,0.002601692474748269
H08,24,0.0048242552149292085
H08,3,0.009569101501499745
H08,2,0.001567471309636539
H08,10,0.03391460424546315
H08,1,0.001086503139537039
H08,0,0.00308801211893848
H08,7,0.0025431938327763336
H08,6,0.0023847524706705286
H08,5,0.014625434199864678
H08,4,0.0011638552865098817
H08,9,0.003995227297998785
H08,8,0.05522489293482315
H19,19,0.003998441949242218
H19,17,0.0032190793468150963
H19,18,0.0031896133168203547
H19,15,0.005235228815454036
H19,16,0.017470257280201667
H19,13,0.0029468669204201193
H19,14,0.006582973449784776
H19,11,0.005553978723320129
H19,12,0.013543286510699176
H19,21,0.01055081582440895
H19,20,0.032083420812442275
H19,22,0.0024266346571778148
H19,23,0.0012120996855703172
H19,24,0.7659431718555385
H19,3,0.006604110964938177
H19,2,0.010451211302255946
H19,10,0.0017600259473323306
H19,1,0.0016376597973377586
H19,0,0.004100919346131747
H19,7,0.011177809603280794
H19,6,0.023093446635183902
H19,5,0.0032439688329446155
H19,4,0.6865436432573693
H19,9,0.004249701303923621
H19,8,0.0030709690900860213
H17,19,0.004076467697556053
H17,17,0.12335604989164035
H17,18,0.0018051102444940662
H17,15,0.015479154531504996
H17,16,0.02292628600254468
H17,13,0.02572430984772549
H17,14,8.462319212355367E-4
H17,11,0.00409992860756503
H17,12,0.0340744648216931
H17,21,0.0044790881847437715
H17,20,0.1759446047467958
H17,22,0.038082885744096406
H17,23,0.0015884681510900357
H17,24,0.06145035548305762
H17,3,0.01352619267776487
H17,2,0.019002189106681777
H17,10,0.4422906270054649
H17,1,0.004265732770956632
H17,0,0.1952633351370456
H17,7,0.008253170938921608
H17,6,0.0045016122367363375
H17,5,0.038586384486403155
H17,4,0.0021617985144930844
H17,9,0.044474859951596765
H17,8,0.26060930578548747
H04,19,0.0037477482354019557
H04,17,0.002285781279245366
H04,18,0.4378503124232773
H04,15,0.0040073815891468675
H04,16,0.006949688696590544
H04,13,0.00868208484277748
H04,14,0.9642114549757328
H04,11,0.0847388280777758
H04,12,0.010680380379937359
H04,21,0.006646428729600792
H04,20,0.08169082162990744
H04,22,0.0017754879467658253
H04,23,6.763718474430431E-4
H04,24,0.0034208203123507475
H04,3,0.004511954445140311
H04,2,0.00886825998085394
H04,10,0.032446690140593634
H04,1,0.004247376530870979
H04,0,0.008323732546782937
H04,7,0.00459979736322288
H04,6,0.0030997500668955517
H04,5,0.010366846008000212
H04,4,0.5181045984076976
H04,9,0.17228048039016283
H04,8,0.09670944308947359
H18,19,0.0021909768539279647
H18,17,0.003583673294829906
H18,18,0.001214935465538006
H18,15,0.03242158542356377
H18,16,0.0025944130762243383
H18,13,0.002179133946330221
H18,14,5.157336794744658E-4
H18,11,0.04485360877193749
H18,12,0.012877962844208184
H18,21,0.04380199539546178
H18,20,0.0488016438028351
H18,22,0.03542725643492812
H18,23,0.0014136388464996471
H18,24,0.009511380814640917
H18,3,0.13094618429190927
H18,2,0.0040225207357182085
H18,10,0.008138112768424143
H18,1,0.0012453676994396258
H18,0,0.002781339389590791
H18,7,0.008952938368783157
H18,6,0.003634337957750641
H18,5,0.3413311368386033
H18,4,0.010296449890429235
H18,9,0.003278033102744854
H18,8,0.002760860199614263
H05,19,0.0024054996695002826
H05,17,0.0023919063522480004
H05,18,0.0630703223292552
H05,15,0.003080308285086987
H05,16,0.017849625312512964
H05,13,0.00578012668147924
H05,14,0.006738913740563363
H05,11,0.8061441554653931
H05,12,0.006922368717247079
H05,21,0.07827033920817209
H05,20,0.1332624752287863
H05,22,0.12615501815505
H05,23,0.020988843355666902
H05,24,0.0318656956820101
H05,3,0.004443175243001569
H05,2,0.022468850039819972
H05,10,0.020970943622986148
H05,1,0.0015408134638415162
H05,0,0.023440120052149876
H05,7,0.0013536277377352427
H05,6,0.0018487450302799864
H05,5,0.003687297857016657
H05,4,0.19938114991557493
H05,9,0.0024008531657268833
H05,8,0.061275372697587996
H15,19,0.0011622788296579791
H15,17,0.0018497690930645942
H15,18,0.0011813102912944745
H15,15,0.004407314849806179
